num_gov,mp_id,nome,cargo,data_inicio,data_fim
12,356,"António Couto dos Santos","Ministro da Educação",1992-03-19,1993-12-07
12,,"Diamantino Durão","Ministro da Educação",1991-10-31,1992-03-19
12,287,"Joaquim Ferreira do Amaral","Ministro das Obras Públicas, Transportes e Comunicações",1991-10-31,1995-10-27
12,1234,"Paulo Mendo","Ministro da Saúde",1993-12-07,1995-10-27
12,335,"Arlindo de Carvalho","Ministro da Saúde",1991-10-31,1993-12-07
12,82,"José Falcão e Cunha","Ministro do Emprego e da Segurança Social",1993-12-07,1995-10-27
12,270,"José Silva Peneda","Ministro do Emprego e da Segurança Social",1991-10-31,1993-12-07
12,,"Fernando Faria de Oliveira","Ministro do Comércio e Turismo",1991-10-31,1995-10-27
12,317,"Teresa Gouveia","Ministra do Ambiente e Recursos Naturais",1993-06-11,1995-10-27
12,,"Carlos Borrego","Ministra do Ambiente e Recursos Naturais",1991-10-31,1993-06-11
12,,"Carlos Coelho","Subsecretário de Estado Adjunto do Ministro da Educação",1994-07-25,1995-10-27
12,,"Domingos Jerónimo","Subsecretário de Estado Adjunto do Ministro dos Negócios Estrangeiros",1992-11-12,1995-10-27
12,1434,"Manuel Frexes","Subsecretário de Estado da Cultura",1992-11-12,1995-10-27
12,1239,"Luís Marques Guedes","Subsecretário de Estado Adjunto do Primeiro-Ministro",1991-11-05,1993-12-07
12,,"Vasco Valdez","Subsecretário de Estado Adjunto da Secretária de Estado Adjunta e do Orçamento",1991-11-05,1993-12-07
12,,"Duarte Ivo Cruz","Subsecretário de Estado Adjunto do Ministro dos Negócios Estrangeiros",1991-11-05,1992-11-12
12,,"José Manuel Costa e Oliveira","Subsecretário de Estado Adjunto Ministro da Agricultura",1991-11-05,1993-12-07
12,,"Amândio Oliveira","Subsecretário de Estado Adjunto do Secretário de Estado da Presidência do Conselho de Ministros",1991-11-05,1995-10-27
12,1084,"Maria José Nogueira Pinto","Subsecretário de Estado Adjunto do Secretário de Estado para a Cultura",1991-11-05,1992-11-12
12,,"António Sousa Lara","Subsecretário de Estado da Cultura",1991-11-05,1992-11-12
12,,"Paulo Teixeira Pinto","Subsecretário de Estado da Presidência do Conselho de Ministros",1991-11-05,1992-06-09
13,628,"António Guterres","Primeiro-Ministro",1995-10-28,1999-10-24
13,285,"José Sócrates","Ministro Adjunto do Primeiro Ministro",1997-11-25,1999-10-24
13,156,"António Costa","Ministro dos Assuntos Parlamentares",1997-11-25,1999-10-24
13,173,"Jaime Gama","Ministro da Defesa Nacional",1999-05-29,1999-10-24
13,,"José da Veiga Simão","Ministro da Defesa Nacional",1997-11-25,1999-05-29
